episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
,1.32.6,0,OURS,94944.0,58945.0,1,0,24,16,36,13,4,300,5580,3102,603,46,220,316,322,325,110,28,0,108,107,13,-316,0,0,160,156,50,141,200,215
,1.32.6,1,panel_kakuteki,58945.0,94944.0,0,0,24,14,32,10,3,262,4930,2680,422,93,234,336,329,330,43,13,0,65,101,9,-190,0,0,88,0,0,264,128,288
,1.32.6,0,OURS,79229.0,45675.0,1,0,24,16,39,13,4,295,6097,3325,760,96,275,307,310,310,142,23,0,94,116,14,-201,0,0,151,156,78,141,170,168
,1.32.6,1,panel_kakuteki,45675.0,79229.0,0,0,24,14,30,10,3,262,4837,2566,410,94,232,335,329,330,57,16,0,69,107,6,-182,0,0,80,0,0,267,129,273
,1.32.6,0,OURS,141298.0,109958.0,1,0,24,16,54,13,4,304,6779,3814,922,65,290,316,320,318,153,39,0,100,122,14,-316,0,0,301,150,50,297,45,165
,1.32.6,1,panel_kakuteki,109958.0,141298.0,0,0,24,14,38,10,3,262,5737,3167,622,87,272,334,331,330,89,31,0,68,113,9,-221,0,0,206,0,0,266,134,241
,1.32.6,0,OURS,66454.0,38440.0,1,0,24,16,44,13,4,299,6212,3345,799,104,309,301,303,304,150,28,0,98,118,14,-186,0,0,162,150,173,158,87,154
,1.32.6,1,panel_kakuteki,38440.0,66454.0,0,0,24,14,32,10,3,262,4924,2599,436,99,240,338,329,330,60,17,0,69,107,9,-180,0,0,88,0,0,267,129,272
,1.32.6,0,OURS,105118.0,91449.0,1,0,24,15,45,13,4,304,6177,3340,823,89,273,306,310,311,151,32,0,94,116,14,-218,0,0,201,156,50,156,173,160
,1.32.6,1,panel_kakuteki,91449.0,105118.0,0,0,24,14,33,10,3,262,5428,3017,552,69,253,335,329,329,89,28,0,58,109,8,-255,0,0,199,0,0,267,132,240
,1.32.6,0,OURS,60297.0,34341.0,1,0,24,13,43,13,4,273,5653,3040,757,113,284,252,252,249,135,27,0,89,112,13,-118,0,0,139,168,135,133,65,114
,1.32.6,1,panel_kakuteki,34341.0,60297.0,0,0,24,14,31,10,3,261,4980,2720,417,87,230,336,327,327,59,18,0,69,106,6,-199,0,0,96,0,0,267,126,271
