episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
90563044,1.32.5,0,Akhil Chinta,113168.0,110911.0,1,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-152,0,0,313,150,0,237,200,233
90563044,1.32.5,1,Chloe,110911.0,113168.0,0,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-152,0,0,313,144,0,237,164,233
90563851,1.32.5,0,Chloe,94063.0,94034.0,1,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-152,0,0,313,144,0,237,164,233
90563851,1.32.5,1,Raj Aryan,94034.0,94063.0,0,0,12,14,60,6,3,277,6090,3259,922,158,374,314,322,314,80,44,0,14,167,106,-147,0,0,313,144,0,237,164,234
90590509,1.32.5,0,Sean Zhang,94857.0,99158.0,0,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-155,0,0,313,144,0,237,164,233
90590509,1.32.5,1,Youssef EL MSIYAH,99158.0,94857.0,1,0,12,14,61,10,3,261,5596,2911,911,174,357,303,307,292,84,30,0,14,146,51,11,0,0,295,144,0,213,152,208
90595900,1.32.5,0,Akhil Chinta,86874.0,91780.0,0,0,12,14,61,6,3,277,6091,3260,922,158,374,314,322,314,80,44,0,14,167,106,-152,0,0,313,144,0,237,180,233
90595900,1.32.5,1,Youssef EL MSIYAH,91780.0,86874.0,1,0,12,14,61,10,3,261,5596,2911,911,174,357,303,307,292,84,30,0,14,146,51,11,0,0,295,144,0,213,152,208
90618675,1.32.5,0,Youssef EL MSIYAH,134913.0,135340.0,0,0,12,14,61,10,3,261,5596,2911,911,174,357,303,307,292,84,30,0,14,146,51,11,0,0,295,144,0,213,152,208
90618675,1.32.5,1,Azelearn,135340.0,134913.0,1,0,12,14,61,9,3,259,5525,2846,916,174,348,302,307,293,83,26,0,14,146,54,20,0,0,277,144,0,213,150,210
90625760,1.32.5,0,venks,120650.0,119133.0,1,0,12,14,61,10,3,260,5590,2899,915,175,354,304,308,294,84,29,0,14,147,51,10,0,0,293,144,0,213,152,210
90625760,1.32.5,1,THUNDER THUNDER,119133.0,120650.0,0,0,12,14,61,9,3,261,5563,2891,913,172,345,302,307,293,84,29,0,14,145,52,-6,0,0,291,144,0,213,150,209
90626533,1.32.5,0,fmind,136625.0,141997.0,0,0,12,14,61,6,3,277,6092,3260,922,158,374,314,322,314,80,45,0,14,167,106,-152,0,0,313,144,0,237,164,233
90626533,1.32.5,1,Aastik Rajan15,141997.0,136625.0,1,0,12,14,61,10,3,259,5562,2870,910,175,356,301,307,292,84,29,0,31,146,45,49,0,0,299,144,0,213,144,208
90630506,1.32.5,0,THUNDER THUNDER,144167.0,143251.0,1,0,12,14,61,9,3,259,5569,2881,920,176,350,304,309,293,84,28,0,14,146,48,16,0,0,291,144,0,150,217,209
90630506,1.32.5,1,venks,143251.0,144167.0,0,0,12,14,61,10,3,260,5590,2899,915,175,354,304,308,294,84,29,0,14,147,51,10,0,0,293,144,0,213,152,210
90632020,1.32.5,0,Juste Me (●'◡'●),129521.0,135952.0,0,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-152,0,0,313,144,0,237,164,233
90632020,1.32.5,1,manual player,135952.0,129521.0,1,0,12,14,61,10,3,259,5571,2890,910,175,356,301,307,292,84,29,0,14,146,51,15,0,0,299,144,0,213,144,208
90632039,1.32.5,0,manual player,122143.0,120184.0,1,0,12,14,61,10,3,259,5571,2890,910,175,356,301,307,292,84,29,0,14,146,51,15,0,0,299,144,0,213,144,208
90632039,1.32.5,1,Dmitry Larko,120184.0,122143.0,0,0,12,14,61,6,3,277,6091,3260,922,158,374,314,322,314,80,44,0,14,167,106,-152,0,0,313,144,0,237,164,229
90636799,1.32.5,0,Mohit Rao,127527.0,119371.0,1,0,12,14,61,9,3,258,5567,2871,917,177,355,302,307,293,83,30,0,14,148,54,6,0,0,303,144,0,213,150,210
90636799,1.32.5,1,Kaito Fukami,119371.0,127527.0,0,0,12,14,61,6,3,277,6090,3260,922,158,374,314,322,314,80,43,0,14,167,106,-152,0,0,313,144,0,237,164,233
90639984,1.32.5,0,Aastik Rajan15,133836.0,136669.0,0,0,12,14,61,10,3,259,5562,2870,910,175,356,301,307,292,84,29,0,31,146,45,49,0,0,299,144,0,213,144,208
90639984,1.32.5,1,Khanh,136669.0,133836.0,1,0,12,14,61,10,3,262,5602,2915,920,174,354,300,307,293,84,27,0,14,145,53,24,0,0,295,144,0,213,148,209
90665384,1.32.5,0,Azelearn,139087.0,136915.0,1,0,12,14,61,10,3,261,5573,2877,922,177,355,301,307,292,84,28,0,14,147,53,25,0,0,286,144,0,213,150,208
90665384,1.32.5,1,lemon13418,136915.0,139087.0,0,0,12,14,61,9,3,260,5588,2895,917,174,353,303,307,293,84,30,0,14,149,53,9,0,0,295,144,0,213,150,209
90683563,1.32.5,0,╰┈➤ˎˊ˗ www.sleepyai.org,86899.0,86079.0,1,0,12,14,61,9,3,259,5525,2846,916,174,348,302,307,293,83,26,0,14,146,54,20,0,0,277,144,0,213,150,210
90683563,1.32.5,1,Khanh,86079.0,86899.0,0,0,12,14,61,10,3,262,5602,2915,920,174,354,300,307,293,84,27,0,14,145,53,24,0,0,295,144,0,213,148,209
