episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
90293319,1.32.4,0,wataru420,120301.0,99350.0,1,0,12,14,50,0,3,258,6245,3577,795,82,246,330,331,317,81,26,0,14,429,0,-297,0,0,208,148,0,252,124,236
90293319,1.32.4,1,Rohan Jain,99350.0,120301.0,0,0,12,15,59,13,4,304,6655,3991,1076,116,325,293,291,204,141,33,0,15,138,14,-197,0,0,249,150,0,221,100,41
90294048,1.32.4,0,Rohan Jain,94501.0,99507.0,0,0,12,16,59,13,4,296,6619,4153,958,100,273,300,301,219,123,27,0,16,119,11,-243,8,0,171,206,0,183,144,84
90294048,1.32.4,1,IsaacJinyu,99507.0,94501.0,1,0,12,15,62,11,3,314,6920,3795,1256,271,413,327,326,251,0,31,0,48,163,22,1561,0,0,76,194,332,366,681,248
90294798,1.32.4,0,Rohan Jain,121336.0,128467.0,0,0,12,15,55,13,4,304,6721,3972,1096,141,341,302,298,227,139,22,0,15,137,13,-157,0,0,217,156,0,249,95,74
90294798,1.32.4,1,Rashi Jain07,128467.0,121336.0,1,0,12,15,56,12,3,325,7329,4706,648,129,326,334,334,268,74,24,0,60,374,34,-221,12,0,235,94,42,198,142,149
90295635,1.32.4,0,Rohan Jain,113314.0,118310.0,0,0,12,16,46,13,4,301,6329,3779,906,104,281,324,325,276,132,31,0,16,122,14,-262,18,0,134,190,0,229,145,124
90295635,1.32.4,1,Ertuğrul Özer,118310.0,113314.0,1,0,12,12,55,8,3,320,6326,4326,742,99,194,260,239,274,0,17,0,12,68,81,-137,21,0,131,108,0,66,228,274
90297656,1.32.4,0,Rohan Jain,77604.0,132577.0,0,0,12,16,55,13,4,301,6493,3873,980,169,332,307,300,225,118,24,0,16,119,11,-90,8,0,123,133,28,163,133,99
90297656,1.32.4,1,Baran Kucuk,132577.0,77604.0,1,0,12,14,57,10,3,269,6155,3292,924,134,338,322,313,319,97,29,0,14,258,99,-87,0,0,250,132,0,219,164,260
