episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
90405608,1.32.4,0,Rohan Jain,98106.0,105660.0,0,0,12,16,54,13,4,304,6784,4081,1046,146,320,306,304,202,122,13,0,81,131,13,-142,10,0,190,162,0,177,178,79
90405608,1.32.4,1,AravindLochan,105660.0,98106.0,1,0,12,9,60,10,3,303,6120,4185,594,170,309,212,203,211,66,76,0,9,63,11,-34,0,0,288,96,0,113,115,169
90406353,1.32.4,0,Rohan Jain,111230.0,73493.0,1,0,12,14,55,13,3,304,6713,4128,1004,135,308,291,288,177,121,30,0,73,132,10,-146,6,0,193,180,0,177,167,56
90406353,1.32.4,1,Abdoulaye DIAW,73493.0,111230.0,0,0,12,14,37,0,3,308,7097,4746,507,381,210,262,249,237,116,46,0,14,255,57,-132,0,0,151,120,0,194,68,107
90411421,1.32.4,0,Jesy Lu,132508.0,88164.0,1,0,12,14,60,6,3,277,5857,3090,922,158,372,314,322,254,80,45,0,14,167,103,-156,0,0,313,126,0,237,164,174
90411421,1.32.4,1,Rohan Jain,88164.0,132508.0,0,0,12,16,51,13,3,301,6711,4230,893,91,289,325,322,178,111,30,0,89,125,10,-258,0,0,212,144,0,248,133,67
90418372,1.32.4,0,Viraj Bakshi,85080.0,126924.0,0,0,12,14,58,0,3,290,6570,3650,911,193,288,305,323,306,70,72,0,14,415,4,-120,0,0,140,83,0,159,106,216
90418372,1.32.4,1,Rohan Jain,126924.0,85080.0,1,0,12,15,59,13,4,304,6688,4044,1036,114,301,298,297,186,127,33,0,81,140,13,-209,0,0,194,221,0,219,133,59
90450224,1.32.4,0,Rohan Jain,110857.0,89874.0,1,0,12,15,56,13,4,304,6664,3982,1040,128,315,293,291,204,131,25,0,94,131,12,-160,0,0,218,180,0,201,149,74
90450224,1.32.4,1,luca fregona,89874.0,110857.0,0,0,12,18,47,14,3,354,8197,5390,724,127,334,359,351,377,82,41,0,18,237,137,-185,0,0,198,75,71,238,84,319
90450812,1.32.4,0,Desyat IO,165859.0,106107.0,1,0,12,14,61,6,3,277,5852,3088,922,158,374,314,322,249,80,43,0,14,167,105,-160,0,0,313,143,0,237,164,168
90450812,1.32.4,1,Rohan Jain,106107.0,165859.0,0,0,12,14,57,13,4,304,6664,4000,1032,148,320,299,294,184,123,30,0,78,127,11,-130,0,0,164,204,0,297,48,61
90454808,1.32.4,0,Mohit Babel,105953.0,98730.0,1,0,12,10,61,5,3,292,6882,4301,1028,128,299,237,230,199,53,36,0,10,278,68,-32,0,0,189,165,0,213,62,146
90454808,1.32.4,1,Rohan Jain,98730.0,105953.0,0,0,12,14,54,13,3,304,6789,4195,1031,131,313,291,281,170,128,25,0,67,131,10,-154,0,0,209,168,0,200,140,44
90467041,1.32.4,0,Rohan Jain,107983.0,85759.0,1,0,12,14,55,13,3,301,6663,4111,966,108,301,297,295,183,126,34,0,84,130,11,-197,0,0,224,156,0,201,148,58
90467041,1.32.4,1,Sparsh389,85759.0,107983.0,0,0,12,18,53,6,4,323,7269,4647,1027,110,327,351,242,295,33,1,0,18,141,56,-48,45,0,198,120,0,363,174,383
90486814,1.32.4,0,FeedMeSeymour,90124.0,98972.0,0,0,12,14,61,9,3,303,7191,4143,1143,131,315,302,307,284,110,36,0,15,263,126,126,0,0,236,133,0,219,124,175
90486814,1.32.4,1,Rohan Jain,98972.0,90124.0,1,0,12,16,57,13,4,301,6639,4075,946,106,294,313,312,193,117,33,0,85,134,12,-223,4,0,206,168,0,177,189,76
90506558,1.32.5,0,Dimitri ZABRE,111958.0,67113.0,1,0,12,14,61,6,3,277,5856,3090,922,158,374,314,322,254,80,42,0,14,167,103,-156,0,0,313,143,0,237,164,174
90506558,1.32.5,1,Rohan Jain,67113.0,111958.0,0,0,12,16,54,13,3,301,6733,4211,934,93,298,322,323,176,110,30,0,82,125,11,-254,0,0,204,144,20,210,154,65
