episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
90715551,1.32.5,0,Rohan Jain,80257.0,97737.0,0,0,12,16,56,13,4,304,6294,3609,908,150,296,318,315,315,130,17,0,87,117,13,-148,34,0,129,179,0,213,156,185
90715551,1.32.5,1,FeedMeSeymour,97737.0,80257.0,1,0,12,15,61,9,3,305,7405,4246,1232,129,324,311,316,297,127,49,0,17,254,86,93,0,0,295,121,0,252,89,168
90731641,1.32.5,0,Masayoshi Kurihara,114625.0,85835.0,1,0,12,14,46,7,3,317,6328,3700,953,94,271,305,301,229,58,28,0,88,283,2,-167,0,0,213,132,0,230,130,171
90731641,1.32.5,1,Rohan Jain,85835.0,114625.0,0,0,12,16,51,13,4,300,6244,3525,955,173,305,302,299,300,137,20,0,80,115,14,-68,18,0,99,208,10,213,134,164
90735498,1.32.5,0,Loshtradz,94080.0,128936.0,0,0,12,14,56,10,3,289,6425,4307,728,110,286,245,225,270,8,25,0,14,182,9,-162,0,0,150,113,0,155,103,261
90735498,1.32.5,1,Rohan Jain,128936.0,94080.0,1,0,12,15,54,13,4,304,6375,3666,988,116,297,296,297,298,165,17,0,84,119,13,-181,0,0,232,162,0,273,74,129
90743661,1.32.5,0,Adrian Martinez 1111,98393.0,87916.0,1,0,12,19,29,6,2,296,6040,3613,587,127,262,425,420,398,0,0,0,19,161,8,-9,0,0,0,186,74,252,482,440
90743661,1.32.5,1,Rohan Jain,87916.0,98393.0,0,0,12,14,55,13,3,301,6270,3714,904,139,287,284,278,275,137,28,0,86,113,9,-104,0,0,153,168,0,177,152,138
90744371,1.32.5,0,Rohan Jain,101797.0,133432.0,0,0,12,15,53,13,3,301,6347,3752,911,83,278,298,297,295,160,38,0,82,123,13,-247,0,0,271,138,0,200,151,135
90744371,1.32.5,1,XtraLearning,133432.0,101797.0,1,0,12,14,61,6,3,277,5852,3088,922,158,374,314,322,249,80,43,0,14,167,105,-160,0,0,313,144,0,237,164,168
90747683,1.32.5,0,Rohan Jain,123834.0,105743.0,1,0,12,15,57,13,4,304,6423,3795,952,96,286,291,288,288,149,37,0,94,118,11,-235,0,0,236,210,0,320,14,139
90747683,1.32.5,1,Joseph Franck,105743.0,123834.0,0,0,12,13,36,10,2,313,7051,4361,993,178,266,315,318,241,0,14,0,13,218,119,193,0,0,0,157,0,261,102,234
90772975,1.32.6,0,Rohan Jain,70371.0,83112.0,0,0,24,15,60,13,4,304,6508,3782,996,98,298,298,296,293,157,43,0,97,120,12,-234,0,0,253,180,10,240,102,137
90772975,1.32.6,1,Viraj Bakshi,83112.0,70371.0,1,0,24,14,51,0,3,267,6096,3644,630,125,248,289,315,338,71,61,0,14,328,7,-171,0,0,228,54,0,196,96,265
90777147,1.32.6,0,Rohan Jain,49775.0,79778.0,0,0,24,15,53,13,4,304,6253,3545,921,165,315,310,308,310,126,22,0,88,111,13,-69,8,0,134,156,0,258,110,185
90777147,1.32.6,1,Mk26,79778.0,49775.0,1,0,24,12,63,11,3,254,4983,2718,802,158,279,265,265,256,0,31,0,12,103,80,-5,48,0,172,90,0,195,102,256
90777211,1.32.6,0,Rohan Jain,68974.0,47723.0,1,0,24,12,57,13,3,296,6370,3663,1086,222,359,255,243,242,92,18,0,81,85,10,83,10,0,149,138,0,174,108,147
90777211,1.32.6,1,ibrahim,47723.0,68974.0,0,0,24,14,49,10,4,241,4347,2232,586,119,269,301,299,288,0,36,0,16,184,0,-87,0,0,48,97,0,183,118,257
90792231,1.32.6,0,Rohan Jain,91870.0,49106.0,1,0,24,13,54,13,3,301,6385,3716,1030,163,312,276,273,275,115,17,0,77,104,11,-64,8,0,170,175,0,177,150,160
90792231,1.32.6,1,Lợi Trần Bảo,49106.0,91870.0,0,0,24,13,50,10,3,303,6801,4387,811,94,272,306,312,312,127,31,0,13,80,41,-145,0,0,79,60,0,184,91,180
