episode_id,module_version,player,name,final_money,opponent_money,won,mirror,town_centre_interval,peak_animals,peak_plants,final_hands,final_quadrants,hires,actions_total,moves,op_WATER,op_PLANT,op_HARVEST,op_FEED,op_CARE,op_COLLECT_FERTILIZER,op_FERTILIZE,op_DIG,op_BUILD,op_PLACE,op_PICKUP,op_DROP,net_WHEAT,net_CARROT,net_TOMATO,net_STRAWBERRY,net_MELON,net_EGG,net_MILK,net_WOOL,net_FERTILIZER
90578711,1.32.5,0,Rohan Jain,107269.0,137667.0,0,0,12,15,59,13,4,304,6408,3758,978,114,289,287,285,287,145,24,0,91,119,12,-188,0,0,209,210,0,233,98,143
90578711,1.32.5,1,Jay Gautam,137667.0,107269.0,1,0,12,15,83,12,4,318,7382,4591,931,258,373,296,306,232,92,96,0,36,105,48,8,0,0,231,141,0,139,198,134
90579494,1.32.5,0,Rohan Jain,131993.0,141870.0,0,0,12,15,56,13,4,304,6439,3710,1006,112,295,293,293,294,171,27,0,87,119,13,-191,0,0,240,174,0,288,53,123
90579494,1.32.5,1,Hamo,141870.0,131993.0,1,0,12,15,51,8,3,333,6841,4647,626,90,236,321,274,329,70,12,0,15,88,116,-218,21,0,255,101,0,104,248,259
90580282,1.32.5,0,Rohan Jain,90741.0,90815.0,0,0,12,16,55,13,4,301,6399,3718,903,131,300,315,314,313,148,17,0,91,118,12,-163,14,0,183,144,0,234,135,159
90580282,1.32.5,1,Leonid Zaporozhets,90815.0,90741.0,1,0,12,19,40,12,3,329,6685,4591,428,66,163,312,374,352,33,27,0,19,117,182,-285,7,8,129,119,0,262,128,315
90581079,1.32.5,0,Rohan Jain,128659.0,109140.0,1,0,12,15,59,13,4,304,6485,3743,1005,106,301,297,294,293,168,38,0,91,119,12,-215,0,0,246,185,0,275,75,124
90581079,1.32.5,1,Jaume Batlle i Ferrer,109140.0,128659.0,0,0,12,11,73,12,4,308,6744,3782,1237,161,318,269,265,249,77,46,0,68,238,20,-571,46,0,301,120,0,126,176,184
90581864,1.32.5,0,Jay Gautam,142099.0,120983.0,1,0,12,15,84,12,4,316,7396,4587,923,265,376,310,314,237,85,98,0,31,110,42,17,0,0,233,108,0,158,198,133
90581864,1.32.5,1,Rohan Jain,120983.0,142099.0,0,0,12,15,59,13,4,304,6439,3767,976,117,291,294,291,292,158,21,0,85,116,13,-205,12,0,206,204,0,299,36,133
90582662,1.32.5,0,Rohan Jain,93410.0,107248.0,0,0,12,12,57,13,3,300,6364,3738,1051,147,300,256,253,253,146,25,0,72,98,10,-108,24,0,191,220,0,177,123,107
90582662,1.32.5,1,Sm00thiecodes,107248.0,93410.0,1,0,12,12,54,12,3,306,6980,4120,851,131,338,319,308,317,107,27,0,27,339,80,3008,13,4,3224,1145,8,3291,1929,3045
90583452,1.32.5,0,Hozuma ITOBAYASHI,133076.0,137069.0,0,0,12,13,48,9,3,294,6347,4425,505,58,207,295,294,284,65,0,0,13,87,99,627,0,0,228,90,0,186,160,219
90583452,1.32.5,1,Rohan Jain,137069.0,133076.0,1,0,12,14,58,13,4,304,6381,3712,997,103,294,281,284,284,161,33,0,82,119,13,-206,0,0,254,189,0,282,49,123
90584246,1.32.5,0,Rohan Jain,137561.0,112608.0,1,0,12,15,57,13,4,304,6351,3671,975,109,283,296,296,295,160,32,0,85,118,13,-207,0,0,201,219,0,270,71,135
90584246,1.32.5,1,Pedro Rezende Gomes,112608.0,137561.0,0,0,12,10,61,9,3,273,5878,3434,904,239,364,243,247,237,77,51,0,10,60,0,158,51,0,181,60,0,150,99,146
90585042,1.32.5,0,Rohan Jain,121268.0,83205.0,1,0,12,15,59,13,4,304,6464,3733,1023,106,296,290,287,288,166,37,0,81,126,13,-217,0,0,254,204,0,234,104,122
90585042,1.32.5,1,Ronald K Wilson ,83205.0,121268.0,0,0,12,18,51,13,4,325,7470,4204,584,130,854,369,406,383,120,40,0,21,230,106,-41,0,0,86,108,0,231,147,264
90585829,1.32.5,0,Tran Huy Hoang1312,103566.0,109662.0,0,0,12,22,28,6,2,285,6167,3585,531,87,197,412,405,422,52,14,0,181,254,0,-331,5,0,40,97,0,263,207,364
90585829,1.32.5,1,Rohan Jain,109662.0,103566.0,1,0,12,15,53,13,4,304,6430,3746,993,122,288,294,291,289,162,18,0,78,116,14,-171,0,0,197,198,0,270,73,127
